1962年威爾特張伯倫單場100分是對哪支球隊？ | 尼克 | 湖人 | 賽爾提克 | 活塞 | 0
1977年選秀首輪第一順位是誰？ | Kent Benson | Walter Davis | Jack Sikma | Otis Birdsong | 0
2016年總決賽第七戰凱瑞厄文最後三分球前幾秒？ | 45秒 | 50秒 | 53秒 | 57秒 | 2
1986年賽爾提克總決賽擊敗火箭時誰獲FMVP？ | Larry Bird | Kevin McHale | Robert Parish | Danny Ainge | 0
哪位球員在1981年選秀第16順位被選中？ | Isiah Thomas | Rolf Sammborn | Steve Johnson | Charles Bradley | 0
2003年馬刺總決賽擊敗籃網時誰獲FMVP？ | Tim Duncan | Tony Parker | David Robinson | Steve Smith | 0
1972年湖人奪冠時威爾特張伯倫幾歲？ | 34歲 | 35歲 | 36歲 | 37歲 | 1
哪位球員在2001年全明星賽得28分獲MVP？ | Allen Iverson | Kobe Bryant | Tim Duncan | Kevin Garnett | 0
1989年選秀首輪第三順位是誰？ | Sean Elliott | Glen Rice | Dan Ferry | Shawn Kemp | 1
2018年總決賽勇士橫掃騎士時杜蘭特FMVP場均得幾分？ | 27.5分 | 28.8分 | 30.2分 | 32.5分 | 1
哪位球員截至 2024 年為止，生涯總得分排名第一？ | Kareem Abdul-Jabbar | LeBron James | Karl Malone | Michael Jordan | 1
NBA 史上單場最高得分紀錄為何人創下（例行賽）？ | Kobe Bryant (81) | Wilt Chamberlain (100) | David Robinson (71) | Elgin Baylor (71) | 1
單季場均得分紀錄（season PPG）由誰保持？ | Michael Jordan | Kobe Bryant | Wilt Chamberlain | James Harden | 2
哪位球員在單季取得最多三分命中（單季總數，至 2024）？ | Stephen Curry | Klay Thompson | James Harden | Damian Lillard | 0
哪位球員在一個賽季拿下最多助攻（總助攻數）？ | John Stockton | Magic Johnson | Steve Nash | Chris Paul | 0
NBA 歷史上得到最多場均三雙（整季）次數的球員是誰？ | Oscar Robertson | Russell Westbrook | Magic Johnson | Luka Dončić | 1
哪位球員擁有最多生涯阻攻（career blocks）紀錄（截至 2024）？ | Hakeem Olajuwon | Dikembe Mutombo | Kareem Abdul-Jabbar | Tim Duncan | 2
NBA 最年輕獲得常規賽 MVP 的球員是誰？ | LeBron James | Derrick Rose | Kobe Bryant | Magic Johnson | 1
哪位教練擁有最多 NBA 冠軍（以總冠軍數計）？ | Phil Jackson | Red Auerbach | Gregg Popovich | Pat Riley | 1
哪位球員是 NBA 歷史上單場最高罰球出手（FTA）紀錄保持者？ | Wilt Chamberlain | Shaquille O'Neal | James Harden | Kobe Bryant | 0
NBA 在哪一年正式引入三分線？ | 1979 | 1983 | 1976 | 1980 | 0
哪位球員以「Sky Hook（天勾）」聞名？ | Kareem Abdul-Jabbar | Wilt Chamberlain | Dirk Nowitzki | Hakeem Olajuwon | 0
NBA 在 2004 年與 2005 年改變哪項重要裁判規則深刻影響球員防守？ | 禁區 3 秒規則 | 防守干擾| 防守三秒| 進攻犯規定義 | 2
哪位球員是 NBA 歷史上生涯三分命中數最多者（截至 2024）？ | Ray Allen | Reggie Miller | Stephen Curry | James Harden | 2
哪位球員在單季創下最多阻攻（single-season blocks）紀錄？ | Mark Eaton | Hakeem Olajuwon | Dikembe Mutombo | Manute Bol | 0
哪位球員是在 NBA 獲得最多次 MVP（常規賽）？ | Kareem Abdul-Jabbar | Bill Russell | Michael Jordan | LeBron James | 0
哪位球員曾在一場季後賽得到 63 分而成為經典（對手：波士頓）？ | Michael Jordan | Elgin Baylor | Wilt Chamberlain | Kobe Bryant | 0
哪支球隊創造了例行賽 73 勝的單季紀錄？ | Chicago Bulls | Los Angeles Lakers | Golden State Warriors | San Antonio Spurs | 2
NBA 歷史上單場最高籃板數由誰創下？ | Wilt Chamberlain | Dennis Rodman | Bill Russell | Moses Malone | 0
哪位球員以「Black Mamba」綽號著稱？ | Kobe Bryant | LeBron James | Allen Iverson | Tracy McGrady | 0
哪位球員以 81 分單場得分創造現代次高紀錄？ | Kobe Bryant | Wilt Chamberlain | David Robinson | Michael Jordan | 0
哪位球員獲得最多次總決賽 MVP？ | Michael Jordan | LeBron James | Kareem Abdul-Jabbar | Bill Russell | 0
哪位球員是 NBA 歷史上第一位單季場均三雙的球員？ | Russell Westbrook | Oscar Robertson | Magic Johnson | Wilt Chamberlain | 1
哪位球員以「大鬍子」(The Beard) 綽號著稱？ | James Harden | Shaquille O'Neal | Pau Gasol | Chris Paul | 0
NBA 規則：24 秒進攻時鐘在什麼情況下會重設為 14 秒（自 2018 起常見）？ | 防守方犯規 | 籃板後攻方維持球權 | 未到 14 秒 | 罰球結束 | 1
哪位球員在一場比賽中出現最多助攻（單場紀錄）？ | John Stockton | Scott Skiles | Magic Johnson | Steve Nash | 1
哪位球員在季後賽生涯總得分排行長期位居前列（至 2024）？ | LeBron James | Michael Jordan | Kobe Bryant | Kareem Abdul-Jabbar | 0
哪位球員在 NBA 史上拿下最多次入選 All-NBA First Team？ | LeBron James | Kobe Bryant | Tim Duncan | Kareem Abdul-Jabbar | 0
哪位球員以「The Logo」為綽號？ | Jerry West | Michael Jordan | Oscar Robertson | Bill Russell | 0
哪位球員在單季得到最多罰球命中（FTM）紀錄？ | Wilt Chamberlain | James Harden | Shaquille O'Neal | Karl Malone | 0
NBA 的「禁區（paint）」通常由哪條線界定？ | 三分線 | 罰球線與底線之間的矩形區 | 中線 | 球場邊線 | 1
哪位球員以 1996 年入選菜鳥並快速成為明星並拿多次冠軍？ | Kobe Bryant | Allen Iverson | Kevin Garnett | Steve Nash | 0
哪位教練以「三角戰術」聞名並帶領多支球隊奪冠？ | Phil Jackson | Gregg Popovich | Pat Riley | Red Auerbach | 0
哪位球員以罰球線後仰著名並為獨行俠傳奇？ | Dirk Nowitzki | Kobe Bryant | LeBron James | Kevin Durant | 0
哪位球員在 2011-2014 年間成為熱火三巨頭成員之一？ | Dwyane Wade | LeBron James | Chris Bosh | All of the above | 3
哪位球員以「Mailman」綽號著稱並為得分高手？ | Karl Malone | John Stockton | Charles Barkley | Patrick Ewing | 0
哪位球員在 2004 年後以高效率三分著稱並改變球風？ | Stephen Curry | Ray Allen | Reggie Miller | Klay Thompson | 0
哪位球員以出色傳球能力並在職業生涯助攻榜名列前茅？ | John Stockton | Jason Kidd | Chris Paul | Steve Nash | 0
哪位球員在一季拿最多阻攻總數（single-season blocks）？ | Mark Eaton | Manute Bol | Hakeem Olajuwon | Dikembe Mutombo | 0
哪位球員曾拿到年度最佳新秀（Rookie of the Year）並後來奪冠？ | Michael Jordan | Shaquille O'Neal | LeBron James | All of the above | 3
哪位球員在 1990s 以防守著稱並多次獲 DPOY？ | Dikembe Mutombo | Ben Wallace | Dennis Rodman | Hakeem Olajuwon | 0
哪位球員以「The Big Fundamental」綽號著稱？ | Tim Duncan | Kevin Garnett | Dirk Nowitzki | Pau Gasol | 0
哪位球員以著名後仰跳投與關鍵球著稱並效力湖人？ | Kobe Bryant | Shaquille O'Neal | Magic Johnson | Kareem Abdul-Jabbar | 0
哪位球員在 2007 年成為年度最佳新秀並長期效力騎士？ | LeBron James | Carmelo Anthony | Kevin Durant | Chris Paul | 0
哪位球員以右手高難度射程著稱並曾為火箭主力？ | James Harden | Tracy McGrady | Vince Carter | Ray Allen | 0
哪位球員以出色防守並曾為馬刺核心？ | Tim Duncan | Tony Parker | Manu Ginobili | Kawhi Leonard | 3
哪位球員在 1992 年奧運 Dream Team 成員？ | Michael Jordan | Magic Johnson | Larry Bird | All of the above | 3
哪位球員以速度與爆發力著稱並在雷霆時期成為明星？ | Russell Westbrook | Kevin Durant | James Harden | Chris Paul | 0
哪位球員以單季三分命中率極高聞名並曾拿三分王？ | Kyle Korver | Stephen Curry | Ray Allen | Reggie Miller | 0
哪位球員以頂級傳球視野聞名並長期效力湖人 80-90 年代？ | Magic Johnson | Michael Jordan | Isiah Thomas | John Stockton | 0
哪位球員以中距離與腳步著稱並為獨行俠傳奇？ | Dirk Nowitzki | Steve Nash | Jason Kidd | Dirk Nowitzki | 0
哪支球隊在 2011-2016 期間以防守與平衡為主導並奪冠？ | Miami Heat | San Antonio Spurs | Golden State Warriors | Los Angeles Lakers | 1
哪位球員曾在單季拿到最多抄截（single-season steals）？ | Alvin Robertson | Michael Jordan | John Stockton | Scottie Pippen | 0
哪位球員以罰球命中率極高並在 2000s 被視為「穩定射手」？ | Steve Nash | Dirk Nowitzki | Stephen Curry | Ray Allen | 0
哪位球員以強力內線與多次總冠軍聞名並效力湖人與熱火？ | Shaquille O'Neal | Tim Duncan | Hakeem Olajuwon | Karl Malone | 0
哪位球員以防守多面向並拿過 DPOY 多次？ | Ben Wallace | Dikembe Mutombo | Dwight Howard | All of the above | 3
哪位球員曾 5 次獲得年度 MVP（常規賽）？ | Michael Jordan | Kareem Abdul-Jabbar | Bill Russell | LeBron James | 1
哪位球員以後仰跳投和穩定得分著稱並為湖人名將？ | Kobe Bryant | LeBron James | Michael Jordan | Kevin Durant | 0
哪位球員在季後賽生涯三分命中數排名前列（至 2024）？ | Stephen Curry | Ray Allen | LeBron James | Klay Thompson | 1
哪支球隊以防守堅固及慢速節奏著稱並在 2000s 多次奪冠？ | San Antonio Spurs | Golden State Warriors | Miami Heat | Boston Celtics | 0
哪位球員以生涯高命中率並以低調風格著稱並效力馬刺？ | Tim Duncan | Tony Parker | Manu Ginobili | Bruce Bowen | 0
哪位球員以傳奇中投與腳步著稱並效力獨行俠？ | Dirk Nowitzki | Michael Jordan | Kobe Bryant | LeBron James | 0
哪位球員在 2016 年總決賽扭轉系列並成為關鍵人物？ | LeBron James | Kyrie Irving | Kevin Love | All of the above | 3
哪位球員在 1998 年最後一投成為經典瞬間？ | Michael Jordan | Kobe Bryant | John Stockton | Scottie Pippen | 0
哪支球隊在 2010s 以三分與小球革命著稱並多次奪冠？ | Golden State Warriors | San Antonio Spurs | Miami Heat | Los Angeles Lakers | 0
哪位球員以突破與切入著稱並在熱火時期有精彩表現？ | Dwyane Wade | LeBron James | Chris Bosh | Michael Beasley | 0
哪位球員被稱為「The Beard」並以單打能力著稱？ | James Harden | Allen Iverson | Kyrie Irving | Kemba Walker | 0
哪位球員以罰球線後仰和中距離著稱並拿過總冠軍？ | Dirk Nowitzki | Kobe Bryant | LeBron James | Tim Duncan | 0
哪位球員以出色的外線威脅與投射穩定著稱並為勇士核心之一？ | Klay Thompson | Stephen Curry | Kevin Durant | Draymond Green | 0
哪位球員以 6 次冠軍和多次 FMVP 著稱？ | Michael Jordan | LeBron James | Bill Russell | Kobe Bryant | 2
哪位球員在 2008-2012 期間為湖人奪冠做出關鍵貢獻？ | Kobe Bryant | Pau Gasol | Lamar Odom | All of the above | 3
哪位球員在 2004 年夏天成為 NBA 傳奇新人並迅速崛起？ | LeBron James | Dwyane Wade | Carmelo Anthony | Chris Bosh | 0
哪位球員以防守與籃板聞名並多次入選最佳防守陣容？ | Dennis Rodman | Ben Wallace | Dennis Rodman | Hakeem Olajuwon | 1
哪位球員為 2019 年勇士隊重要成員但季後賽受傷導致影響？ | Kevin Durant | Klay Thompson | Draymond Green | Stephen Curry | 0
哪支球隊在歷史上以紅綠色配色（經典彩色）並長期強隊？ | Boston Celtics | Los Angeles Lakers | Golden State Warriors | Chicago Bulls | 0
哪位球員是首位生涯得分超過 30000 分的球員之一？ | Kareem Abdul-Jabbar | Michael Jordan | LeBron James | Kobe Bryant | 0
哪位球員以場上智商高並以傳球組織著稱並效力湖人 80s？ | Magic Johnson | Isiah Thomas | John Stockton | Steve Nash | 0
哪位球員曾以超長距離三分而聞名並效力公牛年代？ | Reggie Miller | Ray Allen | Steph Curry | Klay Thompson | 0
哪位教練以嚴謹防守體系與長期執教馬刺著稱？ | Gregg Popovich | Phil Jackson | Pat Riley | Erik Spoelstra | 0
哪位球員以「Airness」綽號著稱？ | Michael Jordan | LeBron James | Kobe Bryant | Allen Iverson | 0
哪位球員持有最多次入選全明星紀錄（至 2024）？ | Kareem Abdul-Jabbar | LeBron James | Kobe Bryant | Tim Duncan | 1
哪位球員在 1980s 被視為最佳得分手之一並多次入選全明星？ | Larry Bird | Magic Johnson | Michael Jordan | Kareem Abdul-Jabbar | 0
Which player was the first to score 30,000 career points? | Kareem Abdul-Jabbar | Kobe Bryant | Michael Jordan | Wilt Chamberlain | 0
哪位球員以抓籃板與防守為主並獲數次 DPOY？ | Dikembe Mutombo | Ben Wallace | Dwight Howard | All of the above | 3
哪位球員以長時間待在同一隊並成為隊史得分王？ | Dirk Nowitzki | Kobe Bryant | LeBron James | Tim Duncan | 0
哪位球員以 1990s 的公牛王朝為核心成員並多次奪冠？ | Michael Jordan | Scottie Pippen | Dennis Rodman | All of the above | 3
哪位球員以靈活的中鋒技術著稱並為 1990s-2000s 的巨星？ | Hakeem Olajuwon | Tim Duncan | Shaquille O'Neal | Patrick Ewing | 0
哪位球員在 2014 年帶領馬刺奪冠並獲 FMVP？ | Tony Parker | Kawhi Leonard | Tim Duncan | Manu Ginobili | 1
哪位球員以後仰打板子與中距離聞名並為獨行俠傳奇？ | Dirk Nowitzki | Steve Nash | Jason Terry | Dirk Nowitzki | 0
哪位球員是 NBA 歷史上單季最高阻攻數紀錄保持者？ | Mark Eaton | Hakeem Olajuwon | Manute Bol | Dikembe Mutombo | 0
哪位球員曾被稱為「The Answer」？ | Allen Iverson | Kobe Bryant | Michael Jordan | LeBron James | 0
哪位球員在季後賽中以 50+ 得分帶隊勝利的少數人之一？ | Michael Jordan | Elgin Baylor | LeBron James | All of the above | 3
哪位球員以技術犯規次數多著稱並在場上情緒化？ | Rasheed Wallace | Draymond Green | Ron Artest | All of the above | 3
哪位球員在 2000s 以高命中率與低位技巧稱霸？ | Shaquille O'Neal | Tim Duncan | Hakeem Olajuwon | Karl Malone | 0
哪位球員以後仰跳投與偉大關鍵球著稱並穿 24/8 號？ | Kobe Bryant | Michael Jordan | LeBron James | Dwyane Wade | 0
哪位球員以三分與傳球結合為特色並在勇士扮演關鍵角色？ | Stephen Curry | Klay Thompson | Draymond Green | Kevin Durant | 0
哪位球員以 3 秒防守區違例（illegal defense）影響比賽策略並導入調整？ | 許多防守者 | 裁判 | 教練 | 球隊管理層 | 0
哪位球員以 30+ 年代的得分紀錄著稱並為早期傳奇？ | Wilt Chamberlain | Bob Cousy | Bill Russell | George Mikan | 0
哪位球員以 1990 年代的成功與多次得分王著稱並為聯盟面孔？ | Michael Jordan | Allen Iverson | Reggie Miller | Karl Malone | 0
哪位球員是 NBA 歷史上最成功的歐洲球星之一且拿過 MVP？ | Dirk Nowitzki | Pau Gasol | Tony Parker | Nikola Jokić | 3
哪位球員以控場與傳球視野聞名並在 2000s 成為傳奇控衛？ | Steve Nash | Jason Kidd | Chris Paul | Magic Johnson | 0
哪位球員因罰球線後仰與柔和投籃技巧著稱並為湖人傳奇？ | Kareem Abdul-Jabbar | Kobe Bryant | Shaquille O'Neal | LeBron James | 0
哪位球員在 2016 年季後賽扮演關鍵角色並幫助球隊逆轉總決賽？ | LeBron James | Kyrie Irving | Kevin Love | All of the above | 3
哪位球員以精準的中距離步伐著稱並為獨行俠名將？ | Dirk Nowitzki | Vince Carter | Jason Kidd | Dirk Nowitzki | 0
哪位球員在 NBA 歷史上以單季最多罰球命中著稱？ | Wilt Chamberlain | Shaquille O'Neal | James Harden | Karl Malone | 0
哪位球員以穩定三分與防守重心著稱並在勇士陣中擔任要角？ | Klay Thompson | Draymond Green | Stephen Curry | Andrew Bogut | 0
哪位球員在 1990s 的防守與籃板工業聞名並效力活塞？ | Dennis Rodman | Isiah Thomas | Bill Laimbeer | Joe Dumars | 0
哪位球員以精準的後仰與中距離著稱並為湖人 80s 的核心？ | Kareem Abdul-Jabbar | Magic Johnson | James Worthy | Kareem Abdul-Jabbar | 0
哪位球員以強勢體格與內線統治力著稱並效力湖人與熱火？ | Shaquille O'Neal | Hakeem Olajuwon | Tim Duncan | Dwight Howard | 0
哪位球員曾於單季達成 50+ 三分命中數且影響比賽空間？ | Stephen Curry | Klay Thompson | Ray Allen | Reggie Miller | 0
哪位球隊在 1980s 與 2000s 都有王朝性表現？ | Los Angeles Lakers | Boston Celtics | Chicago Bulls | San Antonio Spurs | 0
哪位球員以全面性與多項統計皆亮眼並在 2010s 成為 MVP？ | Stephen Curry | LeBron James | Kevin Durant | Russell Westbrook | 0
哪位球員以外線投射與關鍵投著稱並為雷霆/拓荒者明星？ | Damian Lillard | Paul George | Russell Westbrook | James Harden | 0
哪位球員在 2014-2019 期間成為馬刺核心並以防守聞名？ | Kawhi Leonard | Tony Parker | Tim Duncan | Manu Ginobili | 0
哪位球員以 2010s 期間帶隊奪冠並成為球隊象徵？ | LeBron James | Stephen Curry | Kawhi Leonard | Kobe Bryant | 0
哪位球員以運球骗過防守並做出超遠三分著稱並為勇士主力？ | Stephen Curry | Klay Thompson | Kevin Durant | Draymond Green | 0
哪位球員以場上 IQ 與防守技巧著稱並為慢熱型勝利者？ | Tony Allen | Bruce Bowen | Ron Artest | All of the above | 3
哪位球員以攻守俱佳並多次入選年度第一隊？ | LeBron James | Kobe Bryant | Tim Duncan | All of the above | 3
哪位球隊在 NBA 歷史上曾多次搬遷與更名並仍存在？ | Sacramento Kings | Atlanta Hawks | Los Angeles Clippers | All of the above | 3
哪位球員以罰球線跳投（fadeaway）聞名並在 1980s-90s 為公牛核心？ | Michael Jordan | Scottie Pippen | Dennis Rodman | Michael Jordan | 0
哪位球員在生涯後期仍保持高效率並多次入選全明星？ | LeBron James | Dirk Nowitzki | Kareem Abdul-Jabbar | All of the above | 3
哪位球員在 2000s 以三分投射與冷血關鍵球著稱並為拓荒者英雄？ | Damian Lillard | Ray Allen | Reggie Miller | Paul Pierce | 2
