哪位球員在2016年總決賽帶領騎士逆轉勇士奪冠？ | LeBron James | Kevin Love | Kyrie Irving | JR Smith | 0
2018年NBA總冠軍是哪支球隊？ | 騎士 | 火箭 | 勇士 | 賽爾提克 | 2
哪位球員綽號「Flash」？ | Dwyane Wade | Allen Iverson | Tony Parker | Steve Nash | 0
達米恩里拉德綽號是什麼？ | Dame Time | Dame Dolla | Logo Lillard | 以上皆是 | 3
班西蒙斯來自哪個國家？ | 美國 | 加拿大 | 澳洲 | 紐西蘭 | 2
2001年NBA選秀狀元是誰？ | Paul Pierce | Dirk Nowitzki | Kwame Brown | Tyson Chandler | 2
哪位球員單賽季場均得分超過50分？ | Michael Jordan | Wilt Chamberlain | Elgin Baylor | Kobe Bryant | 1
德瑪德羅贊效力暴龍隊幾個賽季？ | 7季 | 8季 | 9季 | 10季 | 2
1984年NBA選秀前三順位不包括誰？ | Hakeem Olajuwon | Michael Jordan | Charles Barkley | Sam Bowie | 2
哪位教練執教勇士奪得2015年總冠軍？ | Mark Jackson | Steve Kerr | Luke Walton | Mike Brown | 1
2022年NBA選秀狀元是誰？ | Chet Holmgren | Jaden Ivey | Paolo Banchero | Jabari Smith | 2
哪位球員綽號「Mr. Big Shot」？ | Chauncey Billups | Rick Hamilton | Ben Wallace | Rasheed Wallace | 0
盧卡東契奇來自哪個國家？ | 塞爾維亞 | 克羅埃西亞 | Slovenia | 希臘 | 2
2016年NBA選秀狀元是誰？ | Brandon Ingram | Jaylen Brown | Ben Simmons | Jamal Murray | 2
哪位球員保持生涯總籃板紀錄23924個？ | Bill Russell | Wilt Chamberlain | Karl Malone | Moses Malone | 1
凱瑞厄文在2011年選秀第幾順位？ | 第1順位 | 第2順位 | 第3順位 | 第4順位 | 0
2014年NBA選秀狀元是誰？ | Jabari Parker | Joel Embiid | Andrew Wiggins | Dante Exum | 2
哪位球員綽號「The Iceman」？ | George Gervin | Alex English | David Thompson | Dan Issel | 0
德雷蒙格林在2012年選秀第幾順位？ | 第15順位 | 第25順位 | 第35順位 | 第45順位 | 2
2021年NBA總冠軍是哪支球隊？ | 太陽 | 公鹿 | 快艇 | 老鷹 | 1
哪位球員被稱為「Pistol Pete」？ | Pete Maravich | John Havlicek | Jerry West | Oscar Robertson | 0
喬爾恩比德來自哪個國家？ | 奈及利亞 | 喀麥隆 | 塞內加爾 | 剛果 | 1
2008年NBA選秀狀元是誰？ | Michael Beasley | OJ Mayo | Derrick Rose | Kevin Love | 2
克雷湯普森單節最高得分是幾分？ | 33分 | 35分 | 37分 | 39分 | 2
哪位球員綽號「The Professor」？ | Andre Miller | Jason Kidd | Steve Nash | John Stockton | 2
吉米巴特勒在2011年選秀第幾順位？ | 第10順位 | 第20順位 | 第30順位 | 第40順位 | 2
2023年NBA總冠軍是哪支球隊？ | 熱火 | 金塊 | 湖人 | 賽爾提克 | 1
哪位球員保持生涯總抄截紀錄3265次？ | Gary Payton | John Stockton | Michael Jordan | Clyde Drexler | 1
特雷楊在2018年選秀第幾順位？ | 第3順位 | 第5順位 | 第7順位 | 第9順位 | 1
2019年NBA選秀狀元是誰？ | Ja Morant | Zion Williamson | RJ Barrett | De'Andre Hunter | 1
哪位球員綽號「Air Canada」？ | Vince Carter | Steve Nash | Andrew Wiggins | Jamal Murray | 0
卡哇伊李納德在2011年選秀第幾順位？ | 第5順位 | 第10順位 | 第15順位 | 第20順位 | 2
2020年NBA選秀狀元是誰？ | James Wiseman | LaMelo Ball | Anthony Edwards | Obi Toppin | 2
哪位球員被稱為「The Big Ticket」？ | Kevin Garnett | Jason Kidd | Paul Pierce | Ray Allen | 0
哪位球員以「字母哥」綽號聞名並效力密爾瓦基？ | Giannis Antetokounmpo | Kawhi Leonard | Damian Lillard | Jimmy Butler | 0
哪位球員以精準三分與快速出手著稱並效力勇士？ | Klay Thompson | Stephen Curry | Draymond Green | Andrew Wiggins | 1
哪位球員以突破與得分能力著稱並長期效力騎士與湖人？ | LeBron James | Kyrie Irving | Dwyane Wade | Chris Paul | 0
哪位球員在 2000s 被稱為「邁阿密三巨頭」成員之一？ | LeBron James | Dwyane Wade | Kobe Bryant | Dirk Nowitzki | 1
哪位球員以低位勾手（sky hook）著名？ | Kareem Abdul-Jabbar | Wilt Chamberlain | Shaquille O'Neal | Hakeem Olajuwon | 0
哪隊在 2016 年奪 NBA 總冠軍並結束長達 52 年冠軍等待？ | 克里夫蘭騎士 | 金州勇士 | 洛杉磯湖人 | 多倫多暴龍 | 0
哪位球員以腳踝受傷後仍有精彩表現著稱並效力熱火？ | Dwyane Wade | LeBron James | Chris Bosh | Shaquille O'Neal | 0
NBA 球員一般在何年數可以參加選秀（至少年齡）？ | 19 歲或更高（依規定） | 18 歲即可 | 21 歲以上 | 沒有限制 | 0
哪位球員以「回合控制」與傳球視野著稱並效力公牛/湖人？ | Magic Johnson | Michael Jordan | Kobe Bryant | Steve Nash | 0
哪位教練以「防守體系」與長期執教馬刺著稱？ | Gregg Popovich | Phil Jackson | Pat Riley | Erik Spoelstra | 0
哪位球員以轉身後仰投籃（step-back）聞名並效力獨行俠？ | Luka Dončić | Dirk Nowitzki | James Harden | Kyrie Irving | 1
哪位球員以控球與傳球為主並長年效力爵士？ | John Stockton | Gary Payton | Jason Kidd | Chris Paul | 0
哪位球員是 NBA 歷史得分王（職業生涯總得分）？ | LeBron James | Kareem Abdul-Jabbar | Karl Malone | Michael Jordan | 1
哪位球員以灌籃力量與體型著稱並曾效力湖人與熱火？ | Shaquille O'Neal | Hakeem Olajuwon | Tim Duncan | Kevin Garnett | 0
哪位球員以「防守型前鋒」著稱並曾效力快艇與馬刺？ | Kawhi Leonard | Paul George | Kawhi Leonard (示例) | Andre Iguodala | 0
哪位球員曾以 73 勝的球隊成為例行賽勝場紀錄持有者？ | Stephen Curry | LeBron James | Kobe Bryant | None | 0
哪位球員在 2016 年總決賽獲得 FMVP（總決賽最有價值球員）？ | LeBron James | Stephen Curry | Kawhi Leonard | Kevin Durant | 0
哪位球員以罰球線跳投與腳步著名並長期效力獨行俠？ | Dirk Nowitzki | Dirk Nowitzki (示例) | Dwyane Wade | Kobe Bryant | 0
NBA 常見的防守犯規之一「阻擋（blocking）」通常發生在？ | 防守者站位不合法阻擋進攻 | 進攻者推人 | 裁判吹哨 | 替補犯規 | 0
哪位球員以距離三分與投籃節奏著稱並效力熱火與雄鹿？ | Ray Allen | Ray Allen (示例) | Stephen Curry | Reggie Miller | 0
哪個賽季階段決定季後賽席次？ | 常規賽 | 季前賽 | 夏季聯賽 | 全明星周末 | 0
哪位球員以低位技術與金牌表現著稱並效力馬刺？ | Tim Duncan | Tim Duncan (示例) | Kevin Garnett | Dirk Nowitzki | 0
哪位球員以突出的傳球與節奏控制著稱並效力太陽與湖人？ | Steve Nash | Steve Nash (示例) | Chris Paul | Magic Johnson | 0
哪位球員以中距離投籃與腳步著稱並效力獨行俠且為歐洲球星？ | Dirk Nowitzki | Dirk Nowitzki (示例) | Pau Gasol | Tony Parker | 0
若兩隊在例行賽戰績同分，NBA 常以何者作為晉級排序考量之一？ | 直接對戰紀錄 | 球隊市值 | 球隊主場顏色 | 教練年資 | 0
哪位球員以多面向技術與身體素質著稱並效力公鹿？ | Giannis Antetokounmpo | Giannis Antetokounmpo (示例) | Russell Westbrook | Luka Dončić | 0
哪位球員在 2014-2019 年間於馬刺擔任核心並以防守著稱？ | Kawhi Leonard | Kawhi Leonard (示例) | Tony Parker | Manu Ginobili | 0
哪位球員以華麗的突破與得分爆發力著稱並效力雷霆與火箭？ | Russell Westbrook | Russell Westbrook (示例) | Kevin Durant | James Harden | 0
哪隊以「三分火力」著稱並在 2010s 大幅改變比賽風格？ | 金州勇士 | 洛杉磯湖人 | 波士頓塞爾提克 | 邁阿密熱火 | 0
哪位球員以「刷盤（rim protector）」與阻攻著稱並效力火箭與熱火？ | Hakeem Olajuwon | Hakeem Olajuwon (示例) | Dwight Howard | Rudy Gobert |0
哪位球員以運球創造機會與得分著稱並效力網隊？ | Kyrie Irving | Kyrie Irving (示例) | Allen Iverson | Stephen Curry | 0
哪位球員在 2019 年帶隊奪冠並獲 FMVP（勇士時期）？ | Kevin Durant | Stephen Curry | Kawhi Leonard | Kevin Durant | 0
哪位球員以招牌後仰跳投與勾手著稱並效力湖人？ | Kobe Bryant | Kobe Bryant (示例) | Shaquille O'Neal | Magic Johnson | 0
哪位球員以優秀的防守與低調風格著稱並效力馬刺與快艇？ | Kawhi Leonard | Kawhi Leonard (示例) | Tony Parker | Manu Ginobili | 0
哪位球員以長距離射程與控球著稱並效力勇士且常與搭檔連線？ | Stephen Curry | Stephen Curry (示例) | Klay Thompson | Draymond Green | 0
NBA 的「禁區」又稱為哪一英文詞？ | Paint (或 key) | Arc | Perimeter | Bench | 0
哪位球員以身體與彈跳著稱並曾效力活塞與湖人？ | Dennis Rodman | Dennis Rodman (示例) | Dennis Rodman | Scottie Pippen | 0
哪位球員在季後賽常以關鍵球著稱並效力金州勇士？ | Stephen Curry | Stephen Curry (示例) | Klay Thompson | Kevin Durant | 0
哪位球員以多次入選年度第一隊並長期效力馬刺？ | Tim Duncan | Tim Duncan (示例) | Tony Parker | Manu Ginobili | 0
哪位球員以控球和組織著稱並效力湖人與太陽？ | Steve Nash | Magic Johnson | Steve Nash | Chris Paul | 2
哪位球員以強硬防守與搶籃板著稱並曾效力熱火與湖人？ | LeBron James | LeBron James (示例) | Shaquille O'Neal | Dwight Howard | 0
哪位球員以準確三分與冷血投籃著稱並效力拓荒者？ | Damian Lillard | Damian Lillard (示例) | CJ McCollum | Lillard | 0
哪位球員以速度與侵略性著稱並長期效力太陽與爵士？ | Steve Nash | Steve Nash (示例) | John Stockton | Steve Nash | 0
哪位球員以中投和腳步著稱並效力公牛黃金年代？ | Michael Jordan | Scottie Pippen | Michael Jordan | Dennis Rodman | 2
哪位球員以罰球線後仰與單打能力著稱並效力湖人（80-90年代）？ | Kareem Abdul-Jabbar | Kobe Bryant | Kareem Abdul-Jabbar | Magic Johnson | 0
哪位球員以遠投與冷靜著稱並效力勇士（別名 Splash 兄弟之一）？ | Klay Thompson | Klay Thompson (示例) | Stephen Curry | Kevin Durant | 0
哪位球員以奪冠次數多且為公牛核心聞名？ | Michael Jordan | Michael Jordan (示例) | Kobe Bryant | Tim Duncan | 0
哪位球員以全面攻守與多次 MVP 著稱並效力騎士與湖人？ | LeBron James | LeBron James (示例) | Kobe Bryant | Tim Duncan | 0
哪位球員以搶斷與防守著稱並效力馬刺為例？ | Bruce Bowen | Bruce Bowen (示例) | Kawhi Leonard | Tony Parker | 0
哪位球員以高效率外線和冷靜關鍵球著稱並效力勇士與雷霆？ | Kevin Durant | Kevin Durant (示例) | Stephen Curry | Klay Thompson | 0
哪位球員以隊內防守核心與傳球視野著稱並效力勇士？ | Draymond Green | Draymond Green (示例) | Stephen Curry | Klay Thompson | 0
哪隊以快速攻守轉換與三分火力著稱並在 2010s 多次奪冠？ | 金州勇士 | 聖安東尼奧馬刺 | 邁阿密熱火 | 洛杉磯湖人 | 0
哪位球員以運球創造得分空間並效力雄鹿與熱火？ | Jimmy Butler | Bam Adebyao | Giannis Antetokounmpo | Khris Middleton | 0
哪位球員在單季總助攻數最高紀錄保持者？ | Magic Johnson | LeBron James | John Stockton | Steve Nash | 2
哪位球員曾在同一季拿到 MVP 與總冠軍？ | Michael Jordan | LeBron James | Kareem Abdul-Jabbar | Tim Duncan | 1
NBA 歷史上最快達成生涯 20,000 分的球員是？ | Kevin Durant | LeBron James | Kobe Bryant | Dirk Nowitzki | 1
哪支球隊曾連續 8 年進入總決賽？ | Los Angeles Lakers | Chicago Bulls | Golden State Warriors | Boston Celtics | 0
NBA 歷史上季後賽單場最高得分 63 分由誰保持？ | Kobe Bryant | Michael Jordan | Elgin Baylor | Wilt Chamberlain | 1
哪位球員單季三分命中率最高？ | Ray Allen | Stephen Curry | Klay Thompson | Kyle Korver | 3
NBA 歷史上單場 30 分 30 籃板紀錄保持者是誰？ | Moses Malone | Bill Russell | Shaquille O'Neal | Wilt Chamberlain | 3
NBA 季後賽單場三分球命中最多紀錄由誰保持？ | Damian Lillard | Ray Allen | Klay Thompson | Stephen Curry | 2
哪位球員曾在一季拿到得分王與助攻王？ | LeBron James | Russell Westbrook | Michael Jordan | James Harden | 1
NBA 歷史上單場失誤最多的球員是？ | John Drew | James Harden | Allen Iverson | Russell Westbrook | 0
哪位球員是唯一一位在季後賽單場得到 50 分以上的中鋒？ | Shaquille O'Neal | Bill Russell | Kareem Abdul-Jabbar | Wilt Chamberlain | 3
NBA 歷史上單季場均得分突破 35 分的球員有誰？ | Kobe Bryant | Wilt Chamberlain | Michael Jordan | Elgin Baylor | 1
哪位球員是史上唯一連續三季場均三雙以上？ | Russell Westbrook | LeBron James | Oscar Robertson | Magic Johnson | 0
NBA 歷史上總冠軍戒指數最多的球員是？ | Bill Russell | Michael Jordan | Kareem Abdul-Jabbar | Robert Horry | 0
哪位球員在總決賽 MVP 得獎次數最多？ | LeBron James | Tim Duncan | Michael Jordan | Magic Johnson | 2
哪位球員在單季罰球命中率最高？ | Steve Nash | Stephen Curry | Rick Barry | Mark Price | 1
哪位球員在一場比賽中拿到最多的助攻？ | Chris Paul | John Stockton | Magic Johnson | Scott Skiles | 3
NBA 歷史上季後賽單場三雙最多紀錄由誰保持？ | Russell Westbrook | Oscar Robertson | Magic Johnson | LeBron James | 0
哪位球員曾在一場季後賽比賽中得到 55 分以上且還有 10 個籃板？ | Kevin Durant | Michael Jordan | Elgin Baylor | LeBron James | 3
哪位球員是 NBA 歷史上第一位在單季三分球命中超過 300 顆？ | Klay Thompson | Larry Bird | Stephen Curry | Ray Allen | 2
哪支球隊在 2015-2019 連續 5 年打進總決賽？ | San Antonio Spurs | Golden State Warriors | Boston Celtics | Miami Heat | 1
哪位球員單季最快達成生涯 10,000 分？ | LeBron James | Kobe Bryant | Kevin Durant | Michael Jordan | 0
哪位球員是史上唯一在三個不同球隊拿到總冠軍的球員？ | Robert Horry | Shaquille O'Neal | LeBron James | John Salley | 0
哪位球員曾在單場拿下至少 50 分但投籃命中率低於 40%？ | James Harden | Kobe Bryant | Carmelo Anthony | Russell Westbrook | 1
NBA 歷史上季後賽單場最高籃板紀錄由誰保持？ | Bill Russell | Wilt Chamberlain | Moses Malone | Dennis Rodman | 0
哪位球員在單場比賽中命中最多三分球？ | Damian Lillard | Klay Thompson | Stephen Curry | Ray Allen | 1
哪位球員是唯一一位拿過常規賽 MVP、總冠軍 MVP 和全明星 MVP 的球員？ | Michael Jordan | Kobe Bryant | LeBron James | Magic Johnson | 0
哪位球員曾在單場得到 20 分、20 籃板、20 助攻？ | Oscar Robertson | Russell Westbrook | Wilt Chamberlain | James Harden | 0
NBA 歷史上總得分前五名不包含誰？ | Dirk Nowitzki | Michael Jordan | LeBron James | Kobe Bryant | 0
哪位球員曾在季後賽三場連續投進至少 9 顆三分球？ | Klay Thompson | Stephen Curry | Ray Allen | Reggie Miller | 0
哪位球員是史上唯一單季場均得分超過 37 分並帶隊進總冠軍？ | Michael Jordan | Kobe Bryant | Wilt Chamberlain | James Harden | 0
NBA 歷史上單場失誤紀錄保持者？ | John Drew | Russell Westbrook | James Harden | Allen Iverson | 1
哪位球員在季後賽單場得到最多罰球？ | James Harden | Shaquille O'Neal | Wilt Chamberlain | LeBron James | 1
哪位球員曾在一場季後賽比賽中得到至少 45 分且投進 10 顆三分球？ | Stephen Curry | Klay Thompson | Damian Lillard | Ray Allen | 2
NBA 歷史上單場助攻最多紀錄保持者？ | Magic Johnson | John Stockton | Chris Paul | Scott Skiles | 3
哪位球員曾在單季得到 2000 分以上且助攻超過 700 次？ | LeBron James | Russell Westbrook | Oscar Robertson | James Harden | 3
哪位球員是唯一一位單季得到至少 50 分、10 籃板、5 助攻？ | Michael Jordan | Kobe Bryant | LeBron James | Russell Westbrook | 2
哪位球員在總決賽單場得分最多？ | Elgin Baylor | Michael Jordan | LeBron James | Kobe Bryant | 0
哪位球員曾在單季投進超過 400 顆三分球？ | Stephen Curry | James Harden | Klay Thompson | Ray Allen | 0
NBA 歷史上最快完成生涯 5000 助攻的球員？ | Magic Johnson | Steve Nash | John Stockton | LeBron James | 2
哪位球員單季最快達成生涯 15,000 分？ | Dirk Nowitzki | Kobe Bryant | LeBron James | Kevin Durant | 2
NBA 歷史上單場罰球命中數最多紀錄由誰保持？ | Shaquille O'Neal | James Harden | Wilt Chamberlain | Kobe Bryant | 2
哪位球員是唯一在單季平均得分超過 30 分且搶斷平均超過 2 的球員？ | Allen Iverson | Kobe Bryant | Michael Jordan | LeBron James | 0
哪位球員曾在季後賽單場得到至少 60 分？ | Kobe Bryant | Elgin Baylor | Michael Jordan | Wilt Chamberlain | 2
哪位球員單季最快達成生涯 20,000 分助攻雙雙？ | Magic Johnson | Oscar Robertson | LeBron James | Russell Westbrook | 2
哪位球員在單場比賽得到最多籃板（包含季後賽）？ | Bill Russell | Dennis Rodman | Moses Malone | Wilt Chamberlain | 3
哪位球員是 NBA 歷史上唯一單季場均 30+ 分且助攻率超過 10% 的球員？ | LeBron James | Russell Westbrook | James Harden | Michael Jordan | 0
哪位球員曾在單季得到至少 50 分且場均助攻超過 8？ | LeBron James | Michael Jordan | James Harden | Kobe Bryant | 2
哪位球員在總決賽單場三分球命中最多？ | Ray Allen | Damian Lillard | Stephen Curry | Klay Thompson | 3
哪位球員在單季三分命中率最高且出場超過 60 場？ | Stephen Curry | Kyle Korver | Klay Thompson | Ray Allen | 0
哪位球員是唯一單季場均得分超過 35 且助攻超過 10 的球員？ | Russell Westbrook | LeBron James | James Harden | Oscar Robertson | 0
NBA 歷史上單場搶斷最多紀錄保持者？ | Larry Kenon | Michael Jordan | Chris Paul | Allen Iverson | 0
哪位球員單季最快達成生涯 10,000 助攻？ | John Stockton | Magic Johnson | Steve Nash | LeBron James | 0
NBA 歷史上單場得分最高紀錄保持者？ | Wilt Chamberlain | Kobe Bryant | David Thompson | Michael Jordan | 0
哪位球員曾在季後賽單場投進最多三分球？ | Klay Thompson | Stephen Curry | Ray Allen | Damian Lillard | 0
哪位球員在季後賽單場助攻最多紀錄？ | Scott Skiles | Magic Johnson | Chris Paul | John Stockton | 3
哪位球員是唯一在單季拿到得分王與助攻王的球員？ | Russell Westbrook | LeBron James | Michael Jordan | James Harden | 0
哪位球員曾在單季場均搶斷超過 3 次？ | Alvin Robertson | Michael Jordan | Chris Paul | Allen Iverson | 0
NBA 歷史上單季罰球命中率最高球員？ | Rick Barry | Steve Nash | Stephen Curry | Mark Price | 1
哪位球員曾在單場比賽得到 50 分以上且助攻超過 15 次？ | LeBron James | Russell Westbrook | Magic Johnson | Oscar Robertson | 1
哪位球員單季最快達成生涯 20,000 分？ | LeBron James | Kobe Bryant | Kevin Durant | Dirk Nowitzki | 0
哪位球員在總決賽單場三雙紀錄最多？ | Magic Johnson | LeBron James | Russell Westbrook | Oscar Robertson | 1
NBA 歷史上最快達成生涯 30,000 分球員？ | LeBron James | Kobe Bryant | Kareem Abdul-Jabbar | Michael Jordan | 0
哪位球員曾在一場季後賽得到至少 60 分？ | Wilt Chamberlain | Michael Jordan | Kobe Bryant | Elgin Baylor | 2
哪位球員是唯一在單季場均得分超過 30 且助攻率超過 10 的球員？ | Russell Westbrook | LeBron James | James Harden | Oscar Robertson | 0
哪位球員單季三分命中超過 400 顆？ | Stephen Curry | Klay Thompson | Ray Allen | James Harden | 0
哪位球員曾在單季得到 2000 分以上且助攻超過 700 次？ | Oscar Robertson | LeBron James | Russell Westbrook | James Harden | 0
NBA 歷史上單場罰球命中數最多紀錄保持者？ | Wilt Chamberlain | Shaquille O'Neal | James Harden | Kobe Bryant | 1
哪位球員在總決賽單場得到最多籃板？ | Wilt Chamberlain | Bill Russell | Moses Malone | Dennis Rodman | 0
哪位球員單季最快達成生涯 15,000 分？ | LeBron James | Dirk Nowitzki | Kobe Bryant | Kevin Durant | 1
NBA 歷史上季後賽單場搶斷紀錄保持者？ | Michael Jordan | Alvin Robertson | Chris Paul | Allen Iverson | 1
哪位球員單季最快達成生涯 10,000 助攻？ | John Stockton | Magic Johnson | Steve Nash | LeBron James | 0
哪位球員曾在單場季後賽拿下 50 分以上？ | Kobe Bryant | Michael Jordan | Elgin Baylor | Wilt Chamberlain | 0
哪位球員是唯一在單季得到 50 分且場均助攻超過 8 的球員？ | LeBron James | Michael Jordan | James Harden | Kobe Bryant | 2
哪位球員在單場比賽命中最多三分球？ | Klay Thompson | Damian Lillard | Stephen Curry | Ray Allen | 0
哪位球員曾在季後賽單場三分球命中最多？ | Klay Thompson | Ray Allen | Damian Lillard | Stephen Curry | 1
哪位球員單季最快達成生涯 20,000 分助攻雙雙？ | Oscar Robertson | Magic Johnson | LeBron James | Russell Westbrook | 2
NBA 歷史上最快達成生涯 30,000 分球員？ | Kareem Abdul-Jabbar | LeBron James | Kobe Bryant | Michael Jordan | 1
哪位球員在季後賽單場助攻最多紀錄？ | Scott Skiles | John Stockton | Magic Johnson | Chris Paul | 0
哪位球員單季最快達成生涯 10,000 助攻？ | John Stockton | Steve Nash | Magic Johnson | LeBron James | 0
哪位球員是唯一在單季得到 50 分且場均助攻超過 8 的球員？ | LeBron James | Kobe Bryant | Michael Jordan | James Harden | 0
